laptop_id,name,price,original_price,discount_pct,status,delivery_location,seller,seller_shipping_speed,seller_quality-score,customer_rating,seller_score,seller's_followers,brand,model,ram,storage,storage_unit,processor,os,display,rating_score,value_for_money,price_diff,price_range
326350180,HP REFURBISHED ELITEBOOK TOUCH SCREEN 840 G3 6TH GEN CORE I5 8GB 256GB SSD 14''INCHES,25500.0,35500.0,28%,Few units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,Unicom computers,,,Unknown,,,HP,REFURBISHED,8GB,8.0,GB,,,14.0,1.0,25500.0,10000.0,Mid
325860023,"Lenovo Refurbrished ThinkPad X280 Intel Core i5-8350U Quad-Core 8GB RAM 256GB SSD 12.5"" Display touchcsreen with complete type-c charger windows 11 pro installed FREE LAPTOP BAG",25000.0,26000.0,4%,Few units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,NEILEY TECHNOLOGGIES,Average,Excellent,Good,80%,2.0,Lenovo,Refurbrished,8GB,8.0,GB,i5,,14.0,4.0,6250.0,1000.0,Mid
325541590,"HP Refurbished EX-UK EliteBook 845 G8 Business Laptop, 14"" FHD (1920 x 1080) Display, AMD Ryzen 5 Pro 5650U Processor, 2.3 GHz, 16GB RAM, 256GB SSD",34999.0,34999.0,,Few units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,novetech supplies,Good,Good,Good,86%,91.0,HP,Refurbished,16GB,16.0,GB,Ryzen 5,,14.0,4.0,8749.75,0.0,Mid
325652096,"Getac Refurbished EX-UK K120, 12.5"" FHD Touchscreen, Rugged, 2-in-1, Intel Core i5-8250U, 4G LTE, 16GB, 256GB SSD, Keyboard, Windows 11 Pro",27400.0,30500.0,10%,Few units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,TWENDY,Good,Excellent,Good,88%,10.0,Getac,Refurbished,16GB,16.0,GB,i5,Windows 11,14.0,4.0,6850.0,3100.0,Mid
8500239,"HP  Refurbished EliteBook 820 G1 Core I5 8GB RAM 500GB, Windows10, 6 Months WRTY",26000.0,23000.0,28%,In stock,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,Wynn Enterprise,Good,Average,Average,76%,200.0,HP,Refurbished,8GB,8.0,GB,,Windows10,14.0,3.0,8666.666666666666,-3000.0,Mid
9531127,Lenovo ThinkPad X270 Intel Core I5-Refurbished-8GB RAM 256GB SSD Windows 10 Pro Laptop,26000.0,26899.0,32%,In stock,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,Digitech Computers,Good,Poor,Average,66%,151.0,Lenovo,ThinkPad,8GB,8.0,GB,,Windows 10,14.0,3.0,8666.666666666666,899.0,Mid
316995027,"DELL Refurbished- Latitude 7280, Core I5 -7300U 7th Gen 2.60GHz, 8GB RAM, 256GB SSD, - 12.5"" Screen Size",18000.0,38000.0,53%,6 units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,JULTECH GENERAL SUPPLIES,Good,Excellent,Unknown,94%,14.0,DELL,Refurbished-,8GB,8.0,GB,,,14.0,1.0,18000.0,20000.0,Low
326616815,DELL XPS13 9360 Refurbished Core I3 7th Gen 8GB RAM/256GB SSD,22999.0,33000.0,30%,In stock,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,SmartComputers,Poor,Excellent,Good,74%,20.0,DELL,XPS13,8GB,8.0,GB,,,14.0,4.0,5749.75,10001.0,Mid
325735420,"HP Elitebook 840 G6 Refurbished 14"" (Intel Quad-Core I5-8250U, 16GB DDR4 RAM, 256GB SSD)",28999.0,38999.0,26%,Few units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,Ubuntu Technologies Kenya,Good,Excellent,Average,84%,88.0,HP,Elitebook,16GB,16.0,GB,,,14.0,3.0,9666.333333333334,10000.0,Mid
7327881,"HP Refurbished 16GBGB RAM 256GB SSD Activated Windows 11 PRO Laptop , Microsoft Office  Installed Activated, Basic Software Installed Free Bag + Free Wireless Mouse + Charger + Mouse Pad",26000.0,40000.0,46%,In stock,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,DigitalSmart  Print,Good,Excellent,Average,84%,17.0,HP,Refurbished,16GB,16.0,GB,,Windows 11,14.0,3.0,8666.666666666666,14000.0,Mid
