laptop_id,name,price,price_before_discount,discount_pct,status,delivery_to_nairobi,seller,seller_shipping_speed,seller_quality-score,seller_customer_rating,seller_score,seller's_followers,scraped_at
247619214,Apple Refurbished MacBook Pro 13 2017 Core i5 8GB RAM 256GB SSD 13.3 Inch Retina Display A1708 Mac OSx  Laptop (6 Months WRTY),"KSh 47,400","KSh 70,000",32%,1 units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,Kentouch Kenya,Excellent,Excellent,Excellent,98%,286,2026-01-26 19:42:41
325856807,HP Refurbrished ProBook 640 Intel Core i5 8th Gen 16GB RAM 256GB SSD 14 Inch HD Display windows 11 pro installed plus complete charger and free wireless mouse,"KSh 26,500","KSh 28,000",5%,8 units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,NEILEY TECHNOLOGGIES,Average,Excellent,Good,80%,2,2026-01-26 19:42:42
326644285,"Lenovo ThinkPad T450/S, Core i5 HDD 500GB RAM 8gb 14 inches Refurbished - Black","KSh 17,499","KSh 21,999",20%,In stock,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,HAMEDA TECHNOLOGIES SHOP,Good,Excellent,Good,90%,76,2026-01-26 19:42:43
325683438,"HP  EliteBook 840 G5 Processor- Intel Core i5-8300U -8th Generation Memory- 12GB DDR4 Hard drive- 512gb  SSD Storage Display-14""  FHD  Color- SILVER","KSh 33,249","KSh 40,000",17%,Few units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,Lawre Digital Solutions,Good,Excellent,Poor,82%,6,2026-01-26 19:42:44
326199293,"HP 16GB RAM 256GB SSD Storage, EliteBook 820  Intel Core I5 Slim Ultrabook Refurbished Laptop, Windows 11 PRO Activated","KSh 18,999","KSh 25,500",25%,In stock,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,PRODUCTS ZONE,Good,Poor,Average,68%,123,2026-01-26 19:42:45
312669187,"Lenovo IdeaPad 1 14IAU7, 14"" HD Display, Core I3-1215U, 4GB DDR4-3200 RAM, 256GB SSD PCIe, Intel® UHD Graphics, Windows 11 Home.","KSh 45,000",,,Few units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,Laptop Clinic,Average,Very Poor,Good,52%,170,2026-01-26 19:43:46
8602083,,,"KSh 30,000",37%,Few units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,SHOPPING HUB,,,,,2,2026-01-26 19:45:48
314947454,HP Super Clean Ex Uk Elite Dragonfly Notebook PC x360 Intel Core i5 8th Gen 8GB RAM 256GB SSD 13.3 Inch FHD Touchscreen Display,"KSh 43,000","KSh 45,000",4%,Few units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,Bundo Tech,Good,Excellent,Good,90%,48,2026-01-26 19:45:49
325683252,"HP  EliteBook 840 G5 Processor- Intel Core i5-8300U -8th Generation Memory- 12GB DDR4 Hard drive- 256gb  SSD Storage Display-14""  FHD  Color- SILVER + Laptop bag","KSh 30,399","KSh 40,000",24%,Few units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,Lawre Digital Solutions,Good,Excellent,Poor,82%,6,2026-01-26 19:45:50
324904370,"HP  8GB RAM 256GB HDD Refurbished Elitebook 840 Core I5, Slim -14"", Black win 11","KSh 18,000","KSh 25,000",28%,In stock,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,SmartComputers,Poor,Excellent,Good,74%,20,2026-01-26 19:45:51
